[00:54:43] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[00:54:43] [INIT] Loaded plugins:
[00:54:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[00:54:43] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgeClientPlugin
[00:54:43] [INIT] - dev.latvian.mods.kubejs.integration.forge.gamestages.GameStagesIntegration
[00:54:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbquests.kubejs.KubeJSIntegration
[00:54:43] [INIT] - dev.ftb.mods.ftbxmodcompat.ftbteams.kubejs.FTBTeamsKubeJSPlugin
[00:54:44] [INFO] example.js#5: Hello, World! (Loaded server scripts)
[00:54:44] [INFO] Loaded script server_scripts:example.js in 0.003 s
[00:54:44] [INFO] Loaded script server_scripts:start.js in 0.001 s
[00:54:44] [INFO] Loaded 2/2 KubeJS server scripts in 0.007 s with 0 errors and 0 warnings
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:erebus_scythe_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/totemic_gold_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/ironwood_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/shulkerate/upgrade/shulkerate_sword[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/shulkerate/upgrade/shulkerate_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_pickaxe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:fujin_dagger_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_shuriken_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_scythe_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_hoe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/eternium_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_hoe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/sculkium/upgrade/sculkium_leggings[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/eternium_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/poseidite/upgrade/poseidite_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:om_spear_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/eternium_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:craft/reinforced_warp_stone[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/shadow_hunter[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/fiery_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/gold_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/shulkerate_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/ironwood_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:zeus_cutlass_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/eternium_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_hoe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/totemic_gold/upgrade/totemic_gold_sword[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/fiery_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_claw[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_boots[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/poseidite/upgrade/poseidite_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_leggings[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_hammer[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/abyss_shock[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:netherite_glaive_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/hammer_of_incarceration[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_round_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'incendium:upgrade_elytra[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:legendary/void_escape[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/iron_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/totemic_gold_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/sculkium/upgrade/sculkium_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/steeleaf_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/shulkerate_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/gold_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/gold_javelin[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:amaterasu_shuriken_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/iron_spear[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_helmet[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'expandedstorage:obsidian_to_netherite_conversion_kit[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:vanilla/upgrade/golden_pickaxe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:lug_longsword_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/steeleaf_plate_shield[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/steeleaf_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/poseidite_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/diamond_machete[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/sculkium_throwing_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:chaos_sword_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/knightmetal_dagger[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/fiery_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2weaponry:generated/upgrade/totemic_gold_battle_axe[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'l2complements:generated_tools/eternium/upgrade/eternium_shovel[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
[00:54:48] [WARN] Failed to parse recipe 'divine_weaponry:cernunnos_sickle_craft[minecraft:smithing_transform]'! Falling back to vanilla: Ingredient 'template' can't be empty!
