1, none, betterend:amber_land, MONSTER, minecraft:enderman, 5, 1, 4
39, none, betterend:amber_land, CREATURE, alexsmobs:spectre, 10, 1, 2
40, none, betterend:amber_land, CREATURE, alexsmobs:enderiophage, 10, 2, 2
41, none, betterend:amber_land, CREATURE, alexsmobs:cosmaw, 10, 1, 2
42, none, betterend:amber_land, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
43, none, betterend:amber_land, AMBIENT, alexsmobs:cosmic_cod, 10, 9, 13
44, none, betterend:amber_land, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 3, 5
45, none, betterend:amber_land, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
46, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:spider, 30, 2, 4
47, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie, 40, 2, 3
48, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
49, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:skeleton, 40, 2, 4
50, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:creeper, 30, 2, 4
51, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:slime, 30, 2, 4
52, forest, wythers:ancient_copper_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
53, forest, wythers:ancient_copper_beech_forest, MONSTER, monsterplus:abyssologer, 10, 1, 1
54, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:arachne, 20, 1, 2
55, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
56, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:creep, 20, 2, 3
57, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:deathword, 30, 1, 2
58, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
59, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
60, forest, wythers:ancient_copper_beech_forest, MONSTER, grimoireofgaia:mimic, 30, 1, 1
61, forest, wythers:ancient_copper_beech_forest, MONSTER, player_mobs:player_mob, 20, 2, 4
62, forest, wythers:ancient_copper_beech_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
63, forest, wythers:ancient_copper_beech_forest, MONSTER, alexsmobs:farseer, 10, 1, 1
64, forest, wythers:ancient_copper_beech_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
65, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
66, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
67, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
68, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
69, forest, wythers:ancient_copper_beech_forest, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
70, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
71, forest, wythers:ancient_copper_beech_forest, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
72, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:cursed_doll, 20, 1, 2
73, forest, wythers:ancient_copper_beech_forest, MONSTER, endermanoverhaul:dark_oak_enderman, 10, 1, 2
74, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
75, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
76, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
77, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
78, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
79, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
80, forest, wythers:ancient_copper_beech_forest, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
81, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
82, forest, wythers:ancient_copper_beech_forest, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
83, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:hornet, 15, 1, 2
84, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:melty_monster, 18, 1, 3
85, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:ghost, 15, 1, 2
86, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:kobold, 20, 1, 2
87, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:lich, 10, 1, 1
88, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:ogre, 10, 1, 1
89, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:spider_nest, 10, 1, 2
90, forest, wythers:ancient_copper_beech_forest, MONSTER, hmag:necrotic_reaper, 10, 1, 2
91, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
92, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
93, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
94, forest, wythers:ancient_copper_beech_forest, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
95, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
96, forest, wythers:ancient_copper_beech_forest, MONSTER, riskofrain_mobs:lemurian_entity, 26, 1, 2
97, forest, wythers:ancient_copper_beech_forest, MONSTER, riskofrain_mobs:stone_golem_entity, 20, 1, 1
98, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
99, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
100, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
101, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
102, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
103, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
104, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
105, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
106, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
107, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
108, forest, wythers:ancient_copper_beech_forest, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
109, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:sheep, 35, 2, 4
110, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:pig, 25, 2, 4
111, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:chicken, 35, 4, 4
112, forest, wythers:ancient_copper_beech_forest, CREATURE, minecraft:cow, 35, 2, 4
113, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:bluejay, 12, 2, 3
114, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:cardinal, 12, 2, 3
115, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:hummingbird, 20, 2, 3
116, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:kiwi, 10, 2, 3
117, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:lyrebird, 10, 2, 3
118, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:magpie, 12, 2, 3
119, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:owl, 10, 2, 3
120, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:peafowl, 10, 2, 3
121, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:pigeon, 12, 2, 3
122, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:robin, 12, 2, 3
123, forest, wythers:ancient_copper_beech_forest, CREATURE, exoticbirds:woodpecker, 12, 2, 3
124, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
125, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
126, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:crow, 10, 2, 4
127, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
128, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:skunk, 10, 1, 2
129, forest, wythers:ancient_copper_beech_forest, CREATURE, alexsmobs:blue_jay, 10, 2, 4
130, forest, wythers:ancient_copper_beech_forest, CREATURE, riskofrain_mobs:gunner_drone_entity, 10, 1, 1
131, forest, wythers:ancient_copper_beech_forest, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
132, forest, wythers:ancient_copper_beech_forest, AMBIENT, minecraft:bat, 10, 2, 4
133, forest, wythers:ancient_copper_beech_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
134, forest, wythers:ancient_copper_beech_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
135, forest, wythers:ancient_copper_beech_forest, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
136, forest, wythers:ancient_copper_beech_forest, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
137, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 12, 2, 5
138, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 3
139, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
140, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
141, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
142, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
143, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 3
144, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
145, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 3
146, forest, wythers:ancient_copper_beech_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
147, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 30, 2, 4
148, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 40, 2, 3
149, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
150, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 40, 2, 4
151, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 30, 2, 4
152, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 30, 2, 4
153, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 2
154, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
155, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:drowned, 10, 1, 1
156, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:spider, 30, 2, 4
157, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie, 40, 2, 3
158, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:zombie_villager, 10, 1, 1
159, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:skeleton, 40, 2, 4
160, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:creeper, 30, 2, 4
161, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:slime, 30, 2, 4
162, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:enderman, 5, 1, 2
163, none, nyctophobia:ancient_dead_coral_reef, MONSTER, minecraft:witch, 5, 1, 1
164, none, nyctophobia:ancient_dead_coral_reef, MONSTER, player_mobs:player_mob, 20, 2, 4
165, none, nyctophobia:ancient_dead_coral_reef, MONSTER, alexsmobs:farseer, 10, 1, 1
166, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
167, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
168, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
169, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
170, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
171, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
172, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
173, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
174, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
175, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
176, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
177, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:dyssomnia, 10, 1, 1
178, none, nyctophobia:ancient_dead_coral_reef, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
179, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
180, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:melty_monster, 18, 1, 3
181, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:ghost, 15, 1, 2
182, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:kobold, 20, 1, 2
183, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:lich, 10, 1, 1
184, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:ogre, 10, 1, 1
185, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:spider_nest, 10, 1, 2
186, none, nyctophobia:ancient_dead_coral_reef, MONSTER, hmag:necrotic_reaper, 10, 1, 2
187, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
188, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
189, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
190, none, nyctophobia:ancient_dead_coral_reef, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
191, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:restless_spirit, 20, 1, 1
192, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:seared_spirit, 10, 1, 1
193, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:sir_pumpkinhead, 10, 1, 1
194, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:skeleton_demoman, 12, 1, 1
195, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:skeleton_thrasher, 10, 1, 1
196, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:spirit_guide_assistant, 10, 2, 2
197, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:spirit_guide, 16, 1, 1
198, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:supreme_bonescaller, 10, 1, 1
199, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:swarmer, 11, 1, 1
200, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:zombie_bruiser, 16, 1, 1
201, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:zombie_clown, 10, 1, 1
202, none, nyctophobia:ancient_dead_coral_reef, MONSTER, born_in_chaos_v1:zombie_fisherman, 25, 1, 1
203, none, nyctophobia:ancient_dead_coral_reef, CREATURE, born_in_chaos_v1:thornshell_crab, 10, 1, 1
204, none, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 2, 4
205, none, nyctophobia:ancient_dead_coral_reef, AMBIENT, minecraft:bat, 10, 2, 4
206, none, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
207, none, nyctophobia:ancient_dead_coral_reef, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 2, 4
208, none, nyctophobia:ancient_dead_coral_reef, WATER_CREATURE, minecraft:squid, 10, 1, 2
209, none, nyctophobia:ancient_dead_coral_reef, WATER_CREATURE, born_in_chaos_v1:corpse_fish, 10, 2, 4
210, none, nyctophobia:ancient_dead_coral_reef, WATER_CREATURE, born_in_chaos_v1:glutton_fish, 10, 1, 1
211, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:cod, 15, 3, 6
212, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
213, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, minecraft:pufferfish, 15, 1, 3
214, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 3
215, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
216, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
217, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
218, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
219, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:minnow, 18, 1, 3
220, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
221, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:perch, 20, 1, 3
222, none, nyctophobia:ancient_dead_coral_reef, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
223, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:spider, 30, 2, 4
224, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:zombie, 40, 2, 3
225, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
226, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:skeleton, 40, 2, 4
227, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:creeper, 30, 2, 4
228, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:slime, 30, 2, 4
229, forest, wythers:ancient_emerald_beech_forest, MONSTER, minecraft:witch, 5, 1, 1
230, forest, wythers:ancient_emerald_beech_forest, MONSTER, monsterplus:abyssologer, 10, 1, 1
231, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:arachne, 20, 1, 2
232, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:bone_knight, 20, 1, 2
233, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:creep, 20, 2, 3
234, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:deathword, 30, 1, 2
235, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:ender_eye, 30, 2, 4
236, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:flesh_lich, 30, 2, 4
237, forest, wythers:ancient_emerald_beech_forest, MONSTER, grimoireofgaia:mimic, 30, 1, 1
238, forest, wythers:ancient_emerald_beech_forest, MONSTER, player_mobs:player_mob, 20, 2, 4
239, forest, wythers:ancient_emerald_beech_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
240, forest, wythers:ancient_emerald_beech_forest, MONSTER, alexsmobs:farseer, 10, 1, 1
241, forest, wythers:ancient_emerald_beech_forest, MONSTER, alexsmobs:murmur, 10, 1, 1
242, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:baby_skeleton, 15, 1, 2
243, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:barrel_zombie, 20, 1, 1
244, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:bloody_gadfly, 20, 1, 1
245, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:bonescaller, 11, 1, 1
246, forest, wythers:ancient_emerald_beech_forest, MONSTER, endermanoverhaul:cave_enderman, 10, 1, 2
247, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:corpse_fly, 17, 1, 3
248, forest, wythers:ancient_emerald_beech_forest, MONSTER, monsterplus:crystal_zombie, 20, 2, 4
249, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:cursed_doll, 20, 1, 2
250, forest, wythers:ancient_emerald_beech_forest, MONSTER, endermanoverhaul:dark_oak_enderman, 10, 1, 2
251, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:dark_vortex, 10, 1, 1
252, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:decaying_zombie, 15, 1, 1
253, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:decrepit_skeleton, 15, 1, 1
254, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:dire_hound_leader, 10, 1, 1
255, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:door_knight, 13, 1, 1
256, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:dread_hound, 15, 3, 5
257, forest, wythers:ancient_emerald_beech_forest, MONSTER, realmrpg_wyrms:ender_wyrm, 10, 1, 3
258, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
259, forest, wythers:ancient_emerald_beech_forest, MONSTER, monsterplus:glow_skeleton, 30, 1, 3
260, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:hornet, 15, 1, 2
261, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:melty_monster, 18, 1, 3
262, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:ghost, 15, 1, 2
263, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:kobold, 20, 1, 2
264, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:lich, 10, 1, 1
265, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:ogre, 10, 1, 1
266, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:spider_nest, 10, 1, 2
267, forest, wythers:ancient_emerald_beech_forest, MONSTER, hmag:necrotic_reaper, 10, 1, 2
268, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:mr_pumpkin, 13, 1, 3
269, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:nightmare_stalker, 10, 1, 1
270, forest, wythers:ancient_emerald_beech_forest, MONSTER, born_in_chaos_v1:phantom_creeper, 10, 1, 1
271, forest, wythers:ancient_emerald_beech_forest, MONSTER, realmrpg_wyrms:red_wyrm, 10, 1, 1
