1, wan_ancient_beasts:abandoned_housing, HEADING, header:ignore, 0, 0, 0
153, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
154, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
155, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
156, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
157, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
158, towns_and_towers:exclusives/village_piglin, HEADING, header:ignore, 0, 0, 0
159, towns_and_towers:exclusives/village_piglin, MONSTER, minecraft:piglin, 10, 6, 8
160, towns_and_towers:exclusives/village_piglin, MONSTER, minecraft:piglin_brute, 10, 2, 3
161, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
162, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
163, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
164, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
165, verdantvibes:fairy_circle, HEADING, header:ignore, 0, 0, 0
166, habitat:fairy_ring, HEADING, header:ignore, 0, 0, 0
167, habitat:fairy_ring, CREATURE, habitat:pooka, 10, 4, 4
168, twilightforest:final_castle, HEADING, header:ignore, 0, 0, 0
169, illagerinvasion:firecaller_hut, HEADING, header:ignore, 0, 0, 0
170, nova_structures:firewatch_tower_birch, HEADING, header:ignore, 0, 0, 0
171, nova_structures:firewatch_tower_cherry, HEADING, header:ignore, 0, 0, 0
172, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
173, nova_structures:firewatch_tower_forest, HEADING, header:ignore, 0, 0, 0
174, nova_structures:firewatch_tower_jungle, HEADING, header:ignore, 0, 0, 0
175, nova_structures:firewatch_tower_mangrove, HEADING, header:ignore, 0, 0, 0
176, nova_structures:firewatch_tower_savanna, HEADING, header:ignore, 0, 0, 0
177, nova_structures:firewatch_tower_swamp, HEADING, header:ignore, 0, 0, 0
178, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
179, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
180, shrines:flooded_temple, HEADING, header:ignore, 0, 0, 0
181, imst:flowerdome, HEADING, header:ignore, 0, 0, 0
182, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
183, valhelsia_structures:forge, HEADING, header:ignore, 0, 0, 0
184, undergarden:forgotten_vestige, HEADING, header:ignore, 0, 0, 0
185, medieval_buildings:fort, HEADING, header:ignore, 0, 0, 0
186, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
187, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
188, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
189, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
190, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
191, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
192, betterfortresses:fortress, MONSTER, hmag:fortress_keeper, 10, 1, 1
193, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
194, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
195, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
196, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
197, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
198, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
199, minecraft:fortress, MONSTER, hmag:fortress_keeper, 10, 1, 1
200, betterarcheology:fossil_chicken, HEADING, header:ignore, 0, 0, 0
201, betterarcheology:fossil_chicken_birch, HEADING, header:ignore, 0, 0, 0
202, betterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
203, betterarcheology:fossil_jungle_0, HEADING, header:ignore, 0, 0, 0
204, betterarcheology:fossil_jungle_1, HEADING, header:ignore, 0, 0, 0
205, betterarcheology:fossil_sheep_0, HEADING, header:ignore, 0, 0, 0
206, imst:fossil_swamp, HEADING, header:ignore, 0, 0, 0
207, betterarcheology:fossil_wolf, HEADING, header:ignore, 0, 0, 0
208, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
209, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
210, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
211, blue_skies:frozen_bunker, HEADING, header:ignore, 0, 0, 0
212, mss:frozen_pond, HEADING, header:ignore, 0, 0, 0
213, blue_skies:gatekeeper_house_mountain, HEADING, header:ignore, 0, 0, 0
214, blue_skies:gatekeeper_house_plains, HEADING, header:ignore, 0, 0, 0
215, blue_skies:gatekeeper_house_snowy, HEADING, header:ignore, 0, 0, 0
216, bosses_of_mass_destruction:gauntlet_arena, HEADING, header:ignore, 0, 0, 0
217, wythers:giant_fallen_log, HEADING, header:ignore, 0, 0, 0
218, betterend:giant_ice_star, HEADING, header:ignore, 0, 0, 0
219, betterend:giant_mossy_glowshroom, HEADING, header:ignore, 0, 0, 0
220, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
221, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
222, snowyspirit:gingerbread_house, HEADING, header:ignore, 0, 0, 0
223, snowyspirit:gingerbread_house, MONSTER, minecraft:witch, 10, 1, 1
224, snowyspirit:gingerbread_house, CREATURE, minecraft:pig, 10, 1, 1
225, totw_modded:glacio, HEADING, header:ignore, 0, 0, 0
226, iceandfire:gorgon_temple, HEADING, header:ignore, 0, 0, 0
227, iceandfire:graveyard, HEADING, header:ignore, 0, 0, 0
228, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
229, shrines:guardian_meeting, HEADING, header:ignore, 0, 0, 0
230, nova_structures:hamlet, HEADING, header:ignore, 0, 0, 0
231, shrines:harbour, HEADING, header:ignore, 0, 0, 0
232, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
233, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
234, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
235, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
236, twilightforest:hedge_maze, HEADING, header:ignore, 0, 0, 0
237, shrines:high_temple, HEADING, header:ignore, 0, 0, 0
238, medieval_buildings:house_1, HEADING, header:ignore, 0, 0, 0
239, medieval_buildings:house_2, HEADING, header:ignore, 0, 0, 0
240, twilightforest:hydra_lair, HEADING, header:ignore, 0, 0, 0
241, totw_modded:ice, HEADING, header:ignore, 0, 0, 0
242, totw_reworked:ice, HEADING, header:ignore, 0, 0, 0
243, wan_ancient_beasts:ice_castle, HEADING, header:ignore, 0, 0, 0
244, aquamirae:ice_maze/arch, HEADING, header:ignore, 0, 0, 0
245, aquamirae:ice_maze/arch, MONSTER, aquamirae:maw, 50, 1, 2
246, aquamirae:ice_maze/arch, AMBIENT, aquamirae:golden_moth, 10, 1, 2
247, aquamirae:ice_maze/common, HEADING, header:ignore, 0, 0, 0
248, aquamirae:ice_maze/common, MONSTER, aquamirae:maw, 50, 1, 2
249, aquamirae:ice_maze/spiral, HEADING, header:ignore, 0, 0, 0
250, aquamirae:ice_maze/spiral, MONSTER, aquamirae:maw, 50, 2, 6
251, imst:igloo, HEADING, header:ignore, 0, 0, 0
252, imst:igloo, MONSTER, minecraft:zombie_villager, 10, 1, 1
253, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
254, nova_structures:illager_camp, HEADING, header:ignore, 0, 0, 0
255, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
256, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
257, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
258, illagerinvasion:illager_fort, HEADING, header:ignore, 0, 0, 0
259, illagerinvasion:illager_fort, MONSTER, minecraft:pillager, 10, 1, 1
260, illagerinvasion:illager_fort, MONSTER, illagerinvasion:marauder, 10, 1, 1
261, illagerinvasion:illager_fort, MONSTER, illagerinvasion:basher, 10, 1, 1
262, illagerinvasion:illager_fort, MONSTER, illagerinvasion:provoker, 10, 1, 1
263, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
264, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
265, nova_structures:illager_manor, HEADING, header:ignore, 0, 0, 0
266, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
267, illagerinvasion:illusioner_tower, HEADING, header:ignore, 0, 0, 0
268, minecolonies:incan_colony, HEADING, header:ignore, 0, 0, 0
269, minecolonies:incan_colony, CREATURE, minecraft:cat, 80, 1, 2
270, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
271, shrines:infested_prison, HEADING, header:ignore, 0, 0, 0
272, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
273, mss:jungle, HEADING, header:ignore, 0, 0, 0
274, totw_modded:jungle, HEADING, header:ignore, 0, 0, 0
275, totw_reworked:jungle, HEADING, header:ignore, 0, 0, 0
276, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
277, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
278, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
279, shrines:jungle_tower, HEADING, header:ignore, 0, 0, 0
280, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
281, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
282, twilightforest:knight_stronghold, HEADING, header:ignore, 0, 0, 0
283, illagerinvasion:labyrinth, HEADING, header:ignore, 0, 0, 0
284, twilightforest:labyrinth, HEADING, header:ignore, 0, 0, 0
285, graveyard:large_graveyard, HEADING, header:ignore, 0, 0, 0
286, graveyard:large_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
287, graveyard:large_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
288, graveyard:large_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
289, twilightforest:large_hollow_hill, HEADING, header:ignore, 0, 0, 0
290, mss:large_tower, HEADING, header:ignore, 0, 0, 0
291, mss:leaf_hollow, HEADING, header:ignore, 0, 0, 0
292, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
293, bosses_of_mass_destruction:lich_tower, HEADING, header:ignore, 0, 0, 0
294, twilightforest:lich_tower, HEADING, header:ignore, 0, 0, 0
295, betterarcheology:light_temple, HEADING, header:ignore, 0, 0, 0
296, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
297, swem:lonely_cottage_abandoned, HEADING, header:ignore, 0, 0, 0
298, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
299, minecolonies:lostmesacity_colony, HEADING, header:ignore, 0, 0, 0
300, minecolonies:lostmesacity_colony, CREATURE, minecraft:cat, 80, 1, 2
301, imst:lumberjack/acacia_hut, HEADING, header:ignore, 0, 0, 0
302, imst:lumberjack/birch_hut, HEADING, header:ignore, 0, 0, 0
303, imst:lumberjack/dark_oak_hut, HEADING, header:ignore, 0, 0, 0
304, imst:lumberjack/jungle_hut, HEADING, header:ignore, 0, 0, 0
305, imst:lumberjack/mangrove_hut, HEADING, header:ignore, 0, 0, 0
306, imst:lumberjack/oak_hut, HEADING, header:ignore, 0, 0, 0
307, imst:lumberjack/spruce_hut, HEADING, header:ignore, 0, 0, 0
308, shrines:luxury_villa, HEADING, header:ignore, 0, 0, 0
309, mss:mangrove, HEADING, header:ignore, 0, 0, 0
310, nova_structures:mangrove_witch_hut, HEADING, header:ignore, 0, 0, 0
311, nova_structures:mangrove_witch_hut, MONSTER, minecraft:witch, 10, 1, 1
312, nova_structures:mangrove_witch_hut, CREATURE, minecraft:cat, 10, 1, 1
313, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
314, totw_modded:mars, HEADING, header:ignore, 0, 0, 0
315, iceandfire:mausoleum, HEADING, header:ignore, 0, 0, 0
316, shrines:mayan_temple, HEADING, header:ignore, 0, 0, 0
317, dungeons_arise:mechanical_nest, HEADING, header:ignore, 0, 0, 0
318, minecolonies:medieval_birch_colony, HEADING, header:ignore, 0, 0, 0
319, minecolonies:medieval_birch_colony, CREATURE, minecraft:cat, 80, 1, 2
320, minecolonies:medieval_dark_oak_colony, HEADING, header:ignore, 0, 0, 0
321, minecolonies:medieval_dark_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
322, minecolonies:medieval_oak_colony, HEADING, header:ignore, 0, 0, 0
323, minecolonies:medieval_oak_colony, CREATURE, minecraft:cat, 80, 1, 2
324, minecolonies:medieval_spruce_colony, HEADING, header:ignore, 0, 0, 0
325, minecolonies:medieval_spruce_colony, CREATURE, minecraft:cat, 80, 1, 2
326, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
327, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
328, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
329, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
330, twilightforest:medium_hollow_hill, HEADING, header:ignore, 0, 0, 0
331, betterend:megalake, HEADING, header:ignore, 0, 0, 0
332, betterend:megalake_small, HEADING, header:ignore, 0, 0, 0
333, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
334, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
335, totw_modded:mercury, HEADING, header:ignore, 0, 0, 0
336, betterarcheology:mesa_ruins, HEADING, header:ignore, 0, 0, 0
337, ae2:meteorite, HEADING, header:ignore, 0, 0, 0
338, towns_and_towers:mimic_desert, HEADING, header:ignore, 0, 0, 0
339, shrines:mineral_temple, HEADING, header:ignore, 0, 0, 0
340, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
341, minecraft:mineshaft, AMBIENT, alexsmobs:underminer, 25, 1, 1
342, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
343, bettermineshafts:mineshaft_acacia, AMBIENT, alexsmobs:underminer, 25, 1, 1
344, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
345, bettermineshafts:mineshaft_desert, AMBIENT, alexsmobs:underminer, 25, 1, 1
346, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
347, bettermineshafts:mineshaft_dripstone, AMBIENT, alexsmobs:underminer, 25, 1, 1
348, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
349, bettermineshafts:mineshaft_ice, AMBIENT, alexsmobs:underminer, 25, 1, 1
350, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
351, bettermineshafts:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 25, 1, 1
352, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
353, bettermineshafts:mineshaft_lush, AMBIENT, alexsmobs:underminer, 25, 1, 1
354, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
355, bettermineshafts:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 25, 1, 1
356, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
357, minecraft:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 25, 1, 1
358, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
359, bettermineshafts:mineshaft_mushroom, AMBIENT, alexsmobs:underminer, 25, 1, 1
360, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
361, bettermineshafts:mineshaft_oak, AMBIENT, alexsmobs:underminer, 25, 1, 1
362, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
363, bettermineshafts:mineshaft_overgrown, AMBIENT, alexsmobs:underminer, 25, 1, 1
364, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
365, bettermineshafts:mineshaft_red_desert, AMBIENT, alexsmobs:underminer, 25, 1, 1
366, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
367, bettermineshafts:mineshaft_spruce, AMBIENT, alexsmobs:underminer, 25, 1, 1
368, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
369, bettermineshafts:mineshaft_spruce_snowy, AMBIENT, alexsmobs:underminer, 25, 1, 1
370, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
371, shrines:modern_villa, HEADING, header:ignore, 0, 0, 0
372, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
373, minecraft:monument, HEADING, header:ignore, 0, 0, 0
374, minecraft:monument, MONSTER, minecraft:guardian, 10, 2, 4
